#RevBayes version (1.0.2)
#Build from development (bd7075) on Sun Sep 25 19:04:16 PDT 2016
Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	subset_sympatry	widespread_sympatry
94	6.29938	-0.212488	6.51187	0.19821	0.00502556	0.0157461	0.0157461	0.0157461	0.0157461	0.0157461	0.0157461	0.0881313	0.0881313	0.0881313	0.737859	0.0639316
95	6.02398	-0.220015	6.244	0.737859	0.0064798	0.0410792	0.0410792	0.0410792	0.0410792	0.0410792	0.0410792	0.0881313	0.0881313	0.0881313	0.19821	0.0639316
96	6.2639	-0.1535	6.4174	0.19821	0.00156193	0.0286569	0.0286569	0.0286569	0.0286569	0.0286569	0.0286569	0.0881313	0.0881313	0.0881313	0.0639316	0.737859
97	5.04371	-1.1824	6.22612	0.0639316	0.088627	0.011857	0.011857	0.011857	0.011857	0.011857	0.011857	0.0369946	0.0369946	0.0369946	0.19821	0.737859
98	4.54401	-0.354172	4.89818	0.0639316	0.132127	0.121511	0.121511	0.121511	0.121511	0.121511	0.121511	0.0166344	0.0166344	0.0166344	0.737859	0.19821
99	5.36437	-0.441599	5.80597	0.737859	0.046491	0.0856668	0.0856668	0.0856668	0.0856668	0.0856668	0.0856668	0.0473353	0.0473353	0.0473353	0.19821	0.0639316
100	4.67344	-0.659553	5.333	0.737859	0.056737	0.0856668	0.0856668	0.0856668	0.0856668	0.0856668	0.0856668	0.0843867	0.0843867	0.0843867	0.19821	0.0639316
101	1.59238	-0.849068	2.44145	0.19821	0.242135	0.210497	0.210497	0.210497	0.210497	0.210497	0.210497	0.0633124	0.0633124	0.0633124	0.737859	0.0639316
102	4.64734	-0.162708	4.81005	0.737859	0.0165465	0.238428	0.238428	0.238428	0.238428	0.238428	0.238428	0.0241112	0.0241112	0.0241112	0.0639316	0.19821
103	6.83	-0.269209	7.0992	0.0639316	0.0172772	0.0183271	0.0183271	0.0183271	0.0183271	0.0183271	0.0183271	0.0145655	0.0145655	0.0145655	0.737859	0.19821
104	4.73647	-0.743462	5.47993	0.19821	0.187187	0.0190186	0.0190186	0.0190186	0.0190186	0.0190186	0.0190186	0.00589134	0.00589134	0.00589134	0.737859	0.0639316
105	3.72391	-0.308759	4.03267	0.0639316	0.0736019	0.240012	0.240012	0.240012	0.240012	0.240012	0.240012	0.0432092	0.0432092	0.0432092	0.737859	0.19821
