#RevBayes version (1.0.2)
#Build from development (ac3593) on Mon Oct 17 10:49:29 CDT 2016
Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	d[1][1][1]	d[1][1][2]	d[1][1][3]	d[1][2][1]	d[1][2][2]	d[1][2][3]	d[1][3][1]	d[1][3][2]	d[1][3][3]	d[2][1][1]	d[2][1][2]	d[2][1][3]	d[2][2][1]	d[2][2][2]	d[2][2][3]	d[2][3][1]	d[2][3][2]	d[2][3][3]	e[1][1]	e[1][2]	e[1][3]	e[2][1]	e[2][2]	e[2][3]	rates[1]	rates[2]	subset_sympatry	widespread_sympatry
44	30.575	-0.154151	30.7291	0.699651	0.0768212	0	0.227205	0	0.00687012	0	0	0.000870645	0.108569	0	0	0.033679	0	0.00634578	0	0	0.00140353	0.0221895	0	0.00322079	0.0014684	0.0113565	0.00876759	0.00398521	0.00463248	0.286525	0.416495	0.00029343	0.300056
45	29.7548	-0.154151	29.9089	0.679223	0.149742	0	0.240428	0	0.00495767	0	0	0.000779079	0.0793985	0	0	0.0297726	0	0.00482477	0	0	0.00259927	0.0334461	0	0.00343877	0.00259383	0.00690999	0.0107181	0.00606446	0.00727702	0.423918	0.883836	0.000537197	0.32024
46	28.9292	-0.154151	29.0833	0.347796	0.180814	0	0.12388	0	0.0112758	0	0	0.00061355	0.202765	0	0	0.0330283	0	0.00375115	0	0	0.00326451	0.0308938	0	0.00242401	0.00340709	0.00703366	0.00912154	0.00606446	0.00677827	0.213017	0.883836	0.00153566	0.650669
47	26.8046	-0.154151	26.9587	0.13021	0.263507	0	0.076111	0	0.00936781	0	0	0.00169929	0.235424	0	0	0.0406398	0	0.0056106	0	0	0.0048273	0.0219962	0	0.00403755	0.00340709	0.00905265	0.0113253	0.00888526	0.00652593	0.221824	0.883836	0.00204798	0.867742
48	23.5485	-0.154151	23.7027	0.153597	0.205688	0	0.0906919	0	0.0181237	0	0	0.00150895	0.272517	0	0	0.0431864	0	0.00572508	0	0	0.00576632	0.0136978	0	0.0173737	0.00313027	0.0122693	0.00710837	0.0130169	0.00694356	0.221824	1.25767	0.010437	0.835966
49	26.9307	-0.154151	27.0849	0.105638	0.165352	0	0.0832325	0	0.00586836	0	0	0.00229774	0.272517	0	0	0.0620277	0	0.00572508	0	0	0.00319985	0.0119618	0	0.0173737	0.00313027	0.0120011	0.00746954	0.00848928	0.00683403	0.420051	1.22014	0.0344126	0.85995
50	28.3839	-0.154151	28.5381	0.22577	0.105684	0	0.111231	0	0.00606359	0	0	0.00229774	0.156656	0	0	0.0616364	0	0.00675492	0	0	0.00216223	0.0119618	0	0.0173737	0.00335212	0.0154463	0.00524094	0.00848928	0.0072463	0.625999	1.00446	0.0567085	0.717522
51	22.9841	-0.154151	23.1383	0.379003	0.181112	0	0.0511269	0	0.0243006	0	0	0.00229774	0.201756	0	0	0.191913	0	0.00675492	0	0	0.0017871	0.0119618	0	0.0297785	0.00419228	0.0154463	0.00657544	0.0102796	0.0065657	0.625999	1.03209	0.046005	0.574992
52	20.9932	-0.154151	21.1473	0.519699	0.0878563	0	0.0648481	0	0.0202764	0	0	0.00229774	0.145028	0	0	0.551678	0	0.00979386	0	0	0.0017871	0.017716	0	0.0258023	0.00581856	0.0120474	0.00438973	0.0102357	0.0109586	0.907975	1.03209	0.113391	0.366909
53	23.7736	-0.154151	23.9278	0.362124	0.0884016	0	0.074333	0	0.0369723	0	0	0.00187302	0.0631939	0	0	0.339299	0	0.00518709	0	0	0.00107356	0.0200102	0	0.0167286	0.00371368	0.00500888	0.00393187	0.0147505	0.0180684	0.907975	0.955864	0.497027	0.140849
54	22.2889	-0.154151	22.443	0.739382	0.172893	0	0.0587642	0	0.0302604	0	0	0.00125894	0.0447724	0	0	0.270157	0	0.00350077	0	0	0.00105384	0.0200102	0	0.0218621	0.00200823	0.0039207	0.00566839	0.019829	0.0180684	1.2819	1.88574	0.162385	0.0982333
55	25.7241	-0.154151	25.8782	0.611438	0.142656	0	0.044545	0	0.0148756	0	0	0.00125894	0.098141	0	0	0.200818	0	0.00412774	0	0	0.0017082	0.029985	0	0.0212188	0.00188583	0.00601491	0.00825909	0.0105801	0.0144578	1.61442	0.820791	0.218058	0.170504
56	27.182	-0.154151	27.3361	0.258684	0.089143	0	0.0357705	0	0.012909	0	0	0.00220464	0.0925484	0	0	0.25427	0	0.00465135	0	0	0.00222706	0.0478199	0	0.0212188	0.00157821	0.00212237	0.00825909	0.0105801	0.0112754	0.764716	0.90452	0.426553	0.314763
57	26.0688	-0.154151	26.223	0.228621	0.0534111	0	0.0318184	0	0.0174039	0	0	0.00318013	0.094398	0	0	0.280641	0	0.00500011	0	0	0.00248531	0.0362452	0	0.0252507	0.000970396	0.00201334	0.00610399	0.0111558	0.0109853	0.764716	2.01318	0.493198	0.278182
58	23.2672	-0.154151	23.4214	0.0717899	0.131203	0	0.0318184	0	0.0178627	0	0	0.00180018	0.0747079	0	0	0.280641	0	0.0097755	0	0	0.00267377	0.0282268	0	0.016123	0.00083098	0.00298591	0.0117421	0.00774364	0.0149159	1.49991	2.45438	0.817345	0.110865
59	22.5859	-0.154151	22.74	0.064237	0.214363	0	0.046545	0	0.0126949	0	0	0.00178473	0.0747079	0	0	0.471268	0	0.00856451	0	0	0.00225276	0.0407215	0	0.0139198	0.000764401	0.00368985	0.0117421	0.00634113	0.0101587	1.45373	1.97222	0.819498	0.116265
60	20.6046	-0.154151	20.7587	0.243752	0.15383	0	0.046545	0	0.0133121	0	0	0.00238686	0.0561575	0	0	0.471268	0	0.0113501	0	0	0.00395223	0.0282632	0	0.0187501	0.00051263	0.00407234	0.0111813	0.00430913	0.0125536	1.60765	1.60165	0.460465	0.295783
61	15.8695	-0.154151	16.0237	0.133929	0.0397856	0	0.0467361	0	0.0115662	0	0	0.00319404	0.0561575	0	0	0.611763	0	0.0111294	0	0	0.00395223	0.0202835	0	0.0446966	0.000452278	0.00290727	0.0176372	0.00270858	0.0109599	0.547931	1.60165	0.253002	0.613069
62	19.6066	-0.154151	19.7607	0.112958	0.0344452	0	0.0618165	0	0.00951053	0	0	0.00319404	0.0346699	0	0	0.611763	0	0.0237535	0	0	0.00395223	0.0172351	0	0.0239091	0.000276867	0.00346308	0.0157697	0.00291322	0.00841527	0.49338	1.04952	0.250594	0.636448
63	20.3829	-0.154151	20.5371	0.42937	0.0346715	0	0.0591791	0	0.00968024	0	0	0.00474329	0.0342346	0	0	0.611763	0	0.015154	0	0	0.00366608	0.0169863	0	0.0212358	0.00035758	0.00346308	0.0188413	0.00183895	0.0105358	0.731364	0.870122	0.248981	0.321649
64	21.3267	-0.154151	21.4808	0.423952	0.0463027	0	0.0642926	0	0.00618443	0	0	0.00292437	0.0342346	0	0	0.611763	0	0.0229743	0	0	0.00487549	0.0164114	0	0.0189593	0.00105244	0.00346308	0.0186905	0.000604576	0.00830998	1.07571	1.15999	0.114007	0.462041
65	21.9937	-0.154151	22.1478	0.774893	0.0663344	0	0.0642926	0	0.00907447	0	0	0.00289699	0.0240987	0	0	0.563653	0	0.0174317	0	0	0.00374226	0.015123	0	0.0112118	0.00166038	0.00346308	0.0375496	0.000612209	0.00892744	0.982949	1.15999	0.0653773	0.15973
66	26.7771	-0.154151	26.9312	0.80958	0.114316	0	0.0784534	0	0.00504831	0	0	0.00277336	0.0357523	0	0	0.25749	0	0.0174317	0	0	0.00420566	0.015123	0	0.0119467	0.00195465	0.00217016	0.0298114	0.000894979	0.00578167	0.733049	0.510574	0.0683038	0.122116
67	27.6053	-0.154151	27.7595	0.15141	0.0552616	0	0.102529	0	0.00337935	0	0	0.00277336	0.0514403	0	0	0.130408	0	0.0136159	0	0	0.00612307	0.0300734	0	0.0108924	0.00203398	0.00172098	0.0229853	0.000804105	0.00736816	0.733049	0.399773	0.498551	0.350038
