Iteration	Posterior	Likelihood	Prior	clock_bg	extirpation_rate[1]	extirpation_rate[2]	extirpation_rate[3]	dispersal_rate[1][1]	dispersal_rate[1][2]	dispersal_rate[2][1]	dispersal_rate[2][2]	dispersal_rate[3][1]	dispersal_rate[3][2]	allopatry_prob	sympatry_prob
57	-1607.4	-47.2474	-1560.15	0.401167	0.00640991	0.0520607	0.179463	0.0390652	0.023845	0.00455464	0.00797209	0.00723647	0.0821508	0.203332	0.796668
58	-1610.31	-48.1141	-1562.19	0.568797	0.00640991	0.0520607	0.19146	0.0588051	0.023845	0.00455464	0.0113951	0.00667272	0.0821508	0.213518	0.786482
59	-1609.25	-47.4781	-1561.77	0.52831	0.00640991	0.0520607	0.19146	0.0588051	0.023845	0.00455464	0.0140282	0.0122027	0.0726797	0.213518	0.786482
60	-1606.8	-47.473	-1559.32	0.305565	0.00640991	0.0729836	0.158691	0.0402385	0.0216045	0.00449442	0.0107218	0.011433	0.0871974	0.213518	0.786482
61	-1607.49	-47.0154	-1560.48	0.404081	0.00640991	0.0729836	0.158691	0.0402385	0.0124762	0.00472663	0.0188858	0.011433	0.0871974	0.39181	0.60819
62	-1608.66	-48.4658	-1560.19	0.360965	0.00640991	0.0729836	0.144505	0.0459029	0.0143317	0.00393944	0.0334237	0.0187946	0.0871974	0.39181	0.60819
63	-1607.78	-48.1108	-1559.67	0.322648	0.00698115	0.0729836	0.144505	0.0561886	0.0143317	0.00393944	0.0177086	0.0187946	0.0871974	0.277947	0.722053
64	-1608.74	-46.9305	-1561.81	0.353856	0.00698115	0.182313	0.220018	0.039914	0.0143317	0.00521176	0.0177086	0.0314366	0.0871974	0.275251	0.724749
65	-1608.85	-46.2693	-1562.58	0.402016	0.00532897	0.182313	0.220018	0.0219534	0.0143317	0.00669565	0.0229915	0.0429716	0.120035	0.253503	0.746497
66	-1611.86	-51.4856	-1560.38	0.309735	0.00532897	0.182313	0.137001	0.0219534	0.0143317	0.00598448	0.0342242	0.0429716	0.0650014	0.253503	0.746497
67	-1611.61	-47.62	-1563.99	0.490337	0.0030327	0.182313	0.292232	0.0301355	0.0146398	0.00598448	0.0498903	0.0453317	0.0650014	0.259264	0.740736
68	-1614.07	-47.9985	-1566.08	0.508344	0.00642893	0.182313	0.378334	0.0301355	0.0146398	0.00753161	0.0498903	0.0634013	0.133645	0.504029	0.495971
69	-1612.88	-47.6655	-1565.22	0.351761	0.00774632	0.182313	0.378334	0.0250316	0.0317489	0.00753161	0.0440981	0.0634013	0.196819	0.504029	0.495971
70	-1611.45	-46.4049	-1565.04	0.302637	0.00780361	0.182313	0.378334	0.0266688	0.0301955	0.00753161	0.0550527	0.0634013	0.277258	0.0821581	0.917842
71	-1613.18	-47.1253	-1566.05	0.271649	0.00754085	0.23601	0.405863	0.0611287	0.0459466	0.00805492	0.0550527	0.0634636	0.277258	0.0821581	0.917842
72	-1616.51	-45.2059	-1571.31	0.633552	0.00941401	0.376079	0.405863	0.0922702	0.0928881	0.00805492	0.0894482	0.0634636	0.277258	0.0124833	0.987517
73	-1614.49	-44.4347	-1570.06	0.519201	0.0177497	0.379461	0.405863	0.0922702	0.0928881	0.00812208	0.0894482	0.041082	0.277258	0.0124833	0.987517
74	-1614.91	-43.9506	-1570.96	0.587822	0.0204698	0.404901	0.405863	0.114538	0.0928881	0.00812208	0.0608058	0.041082	0.277258	0.0124833	0.987517
75	-1612.21	-43.0445	-1569.17	0.626342	0.0204698	0.404901	0.319224	0.0458697	0.06172	0.00987765	0.0399249	0.0285544	0.277258	0.0124833	0.987517
76	-1613.78	-45.4987	-1568.28	0.340421	0.0228673	0.404901	0.508179	0.0458697	0.0715585	0.00625836	0.0399249	0.0285544	0.277258	0.0124833	0.987517
77	-1612.91	-44.0267	-1568.89	0.479397	0.0228673	0.404901	0.503694	0.0670685	0.0715585	0.00625836	0.0471001	0.032218	0.171252	0.0124833	0.987517
78	-1612.74	-43.6579	-1569.08	0.481248	0.0228673	0.352839	0.503694	0.0706326	0.0715585	0.00438439	0.0287279	0.0427173	0.196388	0.035064	0.964936
79	-1613.88	-44.8149	-1569.06	0.418473	0.0228673	0.332011	0.503694	0.0706326	0.0815982	0.00438439	0.0287279	0.0427173	0.196388	0.171616	0.828384
80	-1612.19	-43.0106	-1569.18	0.552366	0.0248454	0.313647	0.503694	0.0530853	0.0566107	0.00438439	0.0287279	0.0269018	0.197317	0.0575823	0.942418
81	-1611.61	-43.5859	-1568.03	0.583264	0.0248454	0.313647	0.323974	0.0613764	0.0838556	0.00408223	0.0267081	0.0269018	0.197317	0.0575823	0.942418
82	-1613.72	-45.8732	-1567.85	0.456889	0.0240232	0.313647	0.323974	0.148683	0.0832199	0.00408223	0.0495873	0.0269018	0.197317	0.0575823	0.942418
