Genus;;;;;
Rossomyrmex;;;;;
Rostromyrmex;;;;;
Rotastruma;Rotastruma;;;;
Royidris;Royidris;;;;
Santschiella;;;;;
;Sapyga;;;;
;Scolia;;;;
Secostruma;Secostruma;;;;
Sericomyrmex;Sericomyrmex;;;;
Simopelta;Simopelta;;;;
Simopone;Simopone;;;;
Solenopsis;Solenopsis;;;;
Sphinctomyrmex;Sphinctomyrmex;Sphinctomyrmex;;;
Stegomyrmex;Stegomyrmex;;;;
Stenamma;Stenamma;;;;
Stereomyrmex;;;;;
Stigmacros;Stigmacros;;;;
Stigmatomma;Stigmatomma;;;;
Streblognathus;Streblognathus;;;;
Strongylognathus;Strongylognathus;;;;
Strumigenys;Strumigenys;;;;
Syllophopsis;Syllophopsis;;;;
Talaridris;Talaridris;;;;
Tanipone;Tanipone;;;;
Tapinolepis;;;;;
Tapinoma;Tapinoma;;;;
Tatuidris;Tatuidris;;;;
Technomyrmex;Technomyrmex;;;;
Temnothorax;Temnothorax;;;;
Terataner;Terataner;;;;
Teratomyrmex;;;;;
Tetheamyrma;Tetheamyrma;;;;
Tetramorium;Tetramorium;;;;
Tetraponera;Tetraponera;;;;
Thaumatomyrmex;Thaumatomyrmex;;;;
Trachymyrmex;Trachymyrmex;;;;
Tranopelta;Tranopelta;;;;
Trichomyrmex;Trichomyrmex;;;;
Tropidomyrmex;Tropidomyrmex;;;;
Turneria;Turneria;;;;
Typhlomyrmex;Typhlomyrmex;;;;
Tyrannomyrmex;Tyrannomyrmex;;;;
Veromessor;Veromessor;;;;
;Vespula;;;;
Vicinopone;Vicinopone;;;;
Vitsika;Vitsika;;;;
Vollenhovia;Vollenhovia;;;;
Vombisidris;Vombisidris;;;;
Wasmannia;Wasmannia;;;;
Xenomyrmex;Xenomyrmex;;;;
Xymmer;Xymmer;;;;
Zatania;Zatania;;;;
