Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	dir_alpha	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_prior[1]	pi_prior[2]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
230	-341.664	-365.217	23.553	0.653566	12.9213	0.0227936	0.142871	0.0307873	0.0151476	0.0841224	0.0586351	0.0144304	0.0295871	0.00550604	0.136268	0.0582679	0.0294707	0.0354271	0.0134268	0.0346985	0.053264	0.0255282	0.223435	0.246382	0.0647725	0.0938724	0.0550214	0.0323118	0.0720271	0.0355917	0.135809	0.00320542	0.0480475	0.0222046	0.0505487	0.0253475	0.177638	0.324357	0.119122	0.0141873	0.510162	0.000101838	0.475549	0.119122	0.119122	0.0643114	0.340772	0.906366	2.68855	2.4008
240	-327.118	-352.688	25.5705	0.970889	16.4015	0.0120629	0.0494111	0.0386383	0.0148735	0.0523338	0.0315687	0.0098522	0.0202996	0.00759469	0.0564771	0.0876573	0.0456129	0.044028	0.010087	0.0366135	0.0551568	0.0662243	0.193813	0.102196	0.0283719	0.0525452	0.0940103	0.0402418	0.0394564	0.0721877	0.172638	0.0131665	0.048377	0.0523666	0.0919395	0.0713414	0.139942	0.360112	0.153699	0.0212569	0.66606	0.000289518	0.312394	0.153699	0.153699	0.131109	0.467823	0.995004	2.40606	2.2112
250	-335.45	-358.29	22.8397	1.61677	13.3658	0.00455849	0.0363278	0.0289162	0.0214852	0.073549	0.0205958	0.0159385	0.0198505	0.019161	0.0886486	0.191312	0.0117252	0.0478899	0.018848	0.0221382	0.0901936	0.0649109	0.296246	0.177433	0.0235635	0.0165142	0.0529549	0.0488103	0.0376874	0.15185	0.243912	0.0231544	0.117539	0.0563575	0.0431057	0.0783521	0.0440781	0.187558	0.315924	0.0399644	0.251007	0.000940917	0.708088	0.315924	0.315924	0.24281	0.606905	1.0566	2.09368	2.37517
260	-333.27	-362.266	28.9955	2.05579	17.5868	0.00724159	0.0425261	0.0507356	0.0212525	0.0621945	0.0521923	0.0153619	0.0368046	0.0132253	0.110588	0.128419	0.0190601	0.017664	0.0286647	0.037213	0.134878	0.158691	0.137928	0.143636	0.0197265	0.0180427	0.0696299	0.0845904	0.0101827	0.114563	0.0630426	0.0145957	0.0327256	0.0563935	0.039878	0.0924049	0.0288678	0.142262	0.197071	0.0252552	0.151141	0.00082837	0.822775	0.197071	0.197071	0.299845	0.660818	1.07132	1.96801	2.00518
270	-329.69	-358.432	28.7415	2.1875	13.6629	0.0098258	0.0387444	0.0599372	0.111998	0.0731326	0.0422055	0.0103973	0.11597	0.0106928	0.138262	0.0568825	0.00692719	0.0423068	0.05762	0.0523271	0.0833168	0.0889044	0.208751	0.0772222	0.0447391	0.0174249	0.0981794	0.0306064	0.0112626	0.119435	0.0895917	0.0295318	0.0233062	0.0169672	0.0537463	0.0836634	0.0505346	0.285859	0.180493	0.0614678	0.629568	0.00043167	0.308532	0.180493	0.180493	0.314674	0.673577	1.07404	1.93771	2.24027
280	-336.182	-364.036	27.8538	0.571659	13.6877	0.00469592	0.215523	0.0907117	0.103439	0.0522898	0.0171321	0.0147322	0.0965924	0.00622479	0.0967198	0.0406931	0.0047358	0.0179837	0.120677	0.0903921	0.0387981	0.0495349	0.383681	0.0180426	0.139381	0.0248657	0.11216	0.0239417	0.0130292	0.0792231	0.119413	0.0118195	0.0517211	0.0209208	0.0322672	0.0554941	0.0640717	0.307775	0.142244	0.0479979	0.802773	0.000656875	0.148572	0.142244	0.142244	0.0473203	0.296146	0.866141	2.79039	2.51868
290	-341.474	-362.403	20.9288	1.73259	10.1456	0.0144359	0.10456	0.0507807	0.274784	0.0574872	0.018757	0.0212033	0.0419283	0.016829	0.0713764	0.0348807	0.00213149	0.00494595	0.0586463	0.0948002	0.0530279	0.0167493	0.811779	0.0262518	0.0371169	0.0218409	0.206928	0.0888415	0.0504404	0.121514	0.0920197	0.00667889	0.0980533	0.00688927	0.0793254	0.0147351	0.0150159	0.4401	0.178536	0.0412578	0.911935	0.00100124	0.0458058	0.178536	0.178536	0.259121	0.623189	1.06159	2.0561	3.05485
300	-342.98	-361.99	19.0091	0.716388	9.96652	0.0261837	0.1089	0.0544279	0.288736	0.10863	0.010921	0.0423583	0.0121768	0.0327007	0.0557244	0.112609	0.0104722	0.00855413	0.0375559	0.0209351	0.0555736	0.0755488	0.558598	0.0407714	0.0969622	0.0372449	0.0723968	0.141294	0.0312629	0.169207	0.0921523	0.00672609	0.202517	0.013952	0.0236924	0.0127309	0.0249564	0.400295	0.211858	0.0991524	0.839785	0.00392521	0.0571378	0.211858	0.211858	0.0776915	0.371161	0.930793	2.62035	2.98677
310	-342.423	-360.788	18.3651	3.15409	12.9415	0.0278254	0.0763338	0.0752279	0.11509	0.0606496	0.00914589	0.0547976	0.0122907	0.00699135	0.0738771	0.108983	0.0144556	0.00273786	0.0651583	0.0261073	0.157782	0.0495817	0.153196	0.0793744	0.354225	0.0660184	0.167402	0.0622931	0.0811648	0.104328	0.126405	0.00683507	0.215552	0.0483724	0.00499166	0.0355193	0.0070389	0.393844	0.155067	0.154926	0.633038	0.00367859	0.208357	0.155067	0.155067	0.400842	0.739718	1.08318	1.77626	2.84359
320	-335.417	-355.121	19.7042	0.953273	10.3702	0.0209522	0.0809654	0.0850478	0.173284	0.0973577	0.0104314	0.0430556	0.025647	0.0198551	0.108006	0.0845041	0.0172701	0.016435	0.0182969	0.0405242	0.111872	0.121947	0.230972	0.293654	0.161997	0.0479433	0.146861	0.157065	0.0634824	0.0491141	0.0476621	0.00860872	0.21066	0.0174755	0.00484402	0.0378157	0.00402882	0.221375	0.407178	0.0770008	0.59042	0.00545625	0.327123	0.407178	0.407178	0.127539	0.462242	0.991804	2.41841	2.77901
330	-344.532	-367.835	23.3031	1.78397	13.6635	0.0237605	0.102838	0.0817973	0.0574138	0.0224234	0.00515777	0.0308505	0.0291055	0.0231487	0.0459712	0.0568541	0.0140038	0.00674286	0.00816827	0.0517851	0.095404	0.0750742	0.246757	0.154382	0.1679	0.0564647	0.0813576	0.120384	0.0742055	0.0789099	0.102934	0.00925254	0.270577	0.0250997	0.0140507	0.118642	0.011372	0.115395	0.341562	0.0478537	0.495416	0.00377963	0.452951	0.341562	0.341562	0.266049	0.629882	1.06351	2.04056	2.37818
340	-327.188	-358.564	31.3767	1.43691	16.2913	0.00925903	0.0690926	0.0691933	0.0668354	0.0691643	0.00564247	0.0293821	0.0163886	0.0261594	0.161735	0.0371386	0.00795075	0.00284253	0.00802424	0.037795	0.0514858	0.0594515	0.180884	0.0321966	0.0558677	0.0810592	0.112063	0.0504	0.0338419	0.0263096	0.0818372	0.0142372	0.308785	0.0405034	0.00717864	0.0434178	0.0315023	0.0520181	0.136992	0.0455519	0.189504	0.00704654	0.757898	0.136992	0.136992	0.21541	0.577707	1.04649	2.16039	1.87964
350	-338.484	-352.296	13.8125	0.986609	8.72262	0.00830454	0.0956604	0.0835302	0.161771	0.092328	0.0129588	0.0317711	0.0113991	0.0884022	0.2227	0.0595537	0.0147092	0.003491	0.00745176	0.0134661	0.0773145	0.0965538	0.582263	0.0341294	0.035166	0.0449121	0.071778	0.0651661	0.13638	0.0493997	0.167617	0.00749014	0.4916	0.0716936	0.00473292	0.138042	0.0324681	0.204518	0.397374	0.0256914	0.36763	0.00142898	0.605249	0.397374	0.397374	0.134274	0.472689	0.997745	2.39529	3.21872
360	-331.096	-354.046	22.9499	2.49649	10.6316	0.00594927	0.0676291	0.0606498	0.1433	0.0440634	0.0125525	0.0151071	0.0191913	0.0204201	0.26022	0.101888	0.00409718	0.00276478	0.00339379	0.0215967	0.0360373	0.0774084	0.167746	0.0502046	0.0615145	0.14148	0.065106	0.132633	0.0510252	0.0342676	0.130518	0.00707406	0.29537	0.150051	0.00981684	0.171722	0.0226266	0.0740886	0.267484	0.0308763	0.348048	0.00153108	0.619544	0.267484	0.267484	0.346123	0.699193	1.07859	1.8761	2.46151
370	-349.469	-370.638	21.1684	1.70315	14.4987	0.00618155	0.145595	0.0944372	0.0666538	0.0210375	0.0126617	0.0491012	0.00560174	0.02558	0.0985448	0.105751	0.000587052	0.00861534	0.00234082	0.0364578	0.0917335	0.127398	0.143311	0.0348772	0.166722	0.0297355	0.05656	0.168058	0.041025	0.0602551	0.125932	0.0213235	0.113537	0.266897	0.0113004	0.155079	0.0449324	0.0759534	0.330676	0.0132509	0.243691	0.00207547	0.740983	0.330676	0.330676	0.255069	0.619214	1.06042	2.0653	2.41378
380	-327.434	-353.315	25.8816	1.15331	13.4042	0.0159066	0.110442	0.0678986	0.0334937	0.0140889	0.0209162	0.0148124	0.00320799	0.0128062	0.0910104	0.0664119	0.000872503	0.00372242	0.0157639	0.00833429	0.102659	0.087598	0.236639	0.0210966	0.169315	0.0309907	0.0787816	0.117486	0.0796787	0.129723	0.0270836	0.0110258	0.314414	0.10675	0.0107995	0.185773	0.0282039	0.0311174	0.138253	0.011354	0.465561	0.000760179	0.522325	0.138253	0.138253	0.16649	0.518436	1.02139	2.29368	2.24882
390	-328.121	-357.558	29.4374	0.531759	16.3582	0.0477731	0.0400651	0.0488381	0.0205008	0.00201694	0.0863565	0.00755119	0.00094709	0.00899464	0.123012	0.0579614	0.0011886	0.00602163	0.0108753	0.0123447	0.0996216	0.0646507	0.179063	0.0151988	0.0571364	0.0410642	0.0243126	0.168996	0.0323299	0.120186	0.017	0.0482797	0.232743	0.102843	0.00930022	0.262938	0.0223223	0.070121	0.189116	0.00615654	0.795027	0.000145204	0.198671	0.189116	0.189116	0.0394146	0.272144	0.842069	2.84637	2.04255
400	-330.48	-353.191	22.711	0.960211	14.201	0.102448	0.0301365	0.0589096	0.00396206	0.00553639	0.0585496	0.00652693	0.00211904	0.00270853	0.208216	0.0610587	0.000525985	0.00357547	0.0413567	0.0159309	0.096403	0.147279	0.342167	0.0142102	0.113617	0.0463024	0.0103881	0.234276	0.0745858	0.0534967	0.044447	0.0377046	0.340184	0.0865135	0.0398713	0.101096	0.0609281	0.0399963	0.308427	0.0166357	0.875822	0.000149557	0.107393	0.308427	0.308427	0.128948	0.464457	0.993081	2.41351	2.48503
410	-342.023	-360.924	18.9012	0.828026	10.0584	0.0682137	0.159646	0.0871452	0.00858869	0.0148911	0.0343257	0.0901233	0.00250007	0.00184286	0.358802	0.142025	0.00034885	0.00175861	0.0161771	0.0211952	0.0802955	0.0453979	0.438806	0.0363018	0.132472	0.0635232	0.0102274	0.185296	0.0548408	0.067985	0.0436968	0.0225967	0.296887	0.0740908	0.0135026	0.0938285	0.0258513	0.0185465	0.100996	0.0203909	0.770063	0.000148733	0.209398	0.100996	0.100996	0.101507	0.418177	0.964428	2.51589	2.71173
420	-349.017	-363.14	14.1228	3.79264	11.7624	0.142447	0.122587	0.1215	0.00432439	0.201103	0.030648	0.0329598	0.000878151	0.0046021	0.18195	0.0702281	0.000110309	0.00323002	0.0125328	0.0138878	0.0822548	0.0643536	0.197687	0.032871	0.0738975	0.0436413	0.0261392	0.249983	0.0707808	0.0805361	0.1531	0.0229076	0.466208	0.072975	0.015776	0.139585	0.0538569	0.0899164	0.282933	0.0562766	0.780078	0.000685285	0.16296	0.282933	0.282933	0.442595	0.767719	1.08437	1.70531	2.87946
