Iteration	Posterior	Likelihood	Prior	r_gain	r_loss	dp	widespread_sympatry	subset_sympatry	allopatry	clock_bg
1190	-129.431	-134.684	5.25326	0.188115	0.811885	0.481067	0.000194081	0.456824	0.542982	0.00264704
1200	-130.878	-133.613	2.73429	0.228804	0.771196	0.566051	0.001234	0.423483	0.575283	0.00308446
1210	-133.56	-131.054	-2.50615	0.161236	0.838764	1.01209	0.0028714	0.84542	0.151709	0.0050788
1220	-131.659	-132.514	0.855099	0.176431	0.823569	0.743084	0.00137109	0.717358	0.281271	0.0044891
1230	-133.745	-133.859	0.114109	0.450283	0.549717	0.719803	0.00412795	0.906546	0.0893256	0.00267296
1240	-133.958	-136.18	2.22186	0.49177	0.50823	0.360873	0.0214947	0.726171	0.252334	0.00232623
1250	-134.083	-135.296	1.21319	0.603585	0.396415	0.400112	0.0430253	0.18562	0.771355	0.00149556
1260	-138.151	-143.003	4.85247	0.20848	0.79152	0.129163	0.0153586	0.740324	0.244317	0.00122622
1270	-132.762	-137.624	4.86247	0.442903	0.557097	0.0934655	0.0223363	0.728359	0.249304	0.00221545
1280	-132.315	-128.965	-3.34987	0.302709	0.697291	0.685019	0.28448	0.655375	0.0601449	0.00289584
1290	-131.762	-127.174	-4.58798	0.52234	0.47766	0.752636	0.543745	0.437577	0.0186777	0.000785968
1300	-131.038	-122.859	-8.17902	0.302173	0.697827	1.11092	0.540132	0.454495	0.00537301	0.00220766
1310	-130.17	-131.947	1.77667	0.40426	0.59574	0.162545	0.31704	0.383437	0.299522	0.00296345
1320	-136.885	-137.327	0.441999	0.543137	0.456863	0.243358	0.566628	0.345233	0.0881393	0.00335629
1330	-127.63	-129.78	2.1497	0.443301	0.556699	0.157281	0.224728	0.507804	0.267468	0.00189612
1340	-127.933	-128.098	0.164555	0.663968	0.336032	0.369312	0.195323	0.348254	0.456423	0.00100068
1350	-126.109	-127.657	1.54791	0.571782	0.428218	0.497035	0.0101687	0.382712	0.607119	0.000922651
1360	-124.226	-129.774	5.54863	0.433444	0.566556	0.253928	0.0017727	0.780415	0.217813	0.00117134
1370	-126.917	-130.653	3.73667	0.479225	0.520775	0.248707	0.0138714	0.722626	0.263502	0.00242812
1380	-129.895	-125.517	-4.37757	0.529525	0.470475	0.811287	0.221321	0.202503	0.576176	0.00199228
1390	-126.657	-130.81	4.15236	0.535768	0.464232	0.176889	0.0194918	0.489068	0.49144	0.00206345
1400	-127.658	-129.976	2.31713	0.378045	0.621955	0.126638	0.262512	0.153761	0.583727	0.00180927
1410	-134.756	-136.37	1.61466	0.761573	0.238427	0.397362	0.0285089	0.644599	0.326892	0.00114005
1420	-131.225	-130.004	-1.22178	0.260481	0.739519	0.995473	0.000852688	0.662503	0.336644	0.00253483
1430	-124.215	-123.12	-1.09547	0.461467	0.538533	1.04189	0.000446796	0.65571	0.343843	0.00164975
1440	-122.169	-128.457	6.28785	0.339384	0.660616	0.309756	0.00041417	0.148233	0.851353	0.00227951
1450	-125.052	-132.866	7.81362	0.414928	0.585072	0.155513	0.000428554	0.178197	0.821374	0.000873162
1460	-123.674	-128.958	5.28391	0.256591	0.743409	0.406624	0.000432455	0.187413	0.812154	0.00191764
1470	-126.306	-128.732	2.42634	0.476614	0.523386	0.529702	0.00261683	0.554103	0.44328	0.00257504
1480	-126.364	-126.605	0.241004	0.263511	0.736489	0.747046	0.00267857	0.443844	0.553477	0.00166558
1490	-124.864	-126.871	2.00635	0.604015	0.395985	0.529226	0.00426675	0.667132	0.328601	0.00105021
1500	-129.658	-123.698	-5.96008	0.460156	0.539844	0.954213	0.264331	0.364794	0.370875	0.00133394
1510	-126.456	-126.709	0.252379	0.258813	0.741187	0.573425	0.0179516	0.402861	0.579187	0.00293382
1520	-127.416	-124.714	-2.70213	0.488427	0.511573	0.864883	0.0189525	0.456258	0.52479	0.00204362
1530	-127.818	-126.343	-1.47555	0.243674	0.756326	0.645511	0.0547829	0.349642	0.595575	0.00322735
1540	-125.321	-129.179	3.85809	0.334305	0.665695	0.226532	0.0155344	0.490947	0.493519	0.00227096
1550	-126.118	-128.755	2.63697	0.440273	0.559727	0.259935	0.0419826	0.543566	0.414451	0.00150282
1560	-127.846	-129.326	1.47974	0.470368	0.529632	0.201287	0.290466	0.610653	0.0988812	0.00179285
1570	-129.188	-128.421	-0.767624	0.331293	0.668707	0.421228	0.302345	0.399036	0.298619	0.00298083
1580	-129.089	-128.303	-0.78659	0.30799	0.69201	0.448895	0.226584	0.29394	0.479477	0.00317139
1590	-129.709	-127.891	-1.81739	0.662225	0.337775	0.569344	0.18977	0.372574	0.437656	0.00175995
1600	-128.337	-127.329	-1.00778	0.691902	0.308098	0.482819	0.203743	0.140143	0.656113	0.000929105
1610	-125.993	-127.852	1.8589	0.454853	0.545147	0.363903	0.0312813	0.286475	0.682244	0.00182191
1620	-126.965	-126.987	0.0221569	0.367181	0.632819	0.482962	0.0641339	0.610781	0.325085	0.00182255
1630	-130.078	-130.25	0.172788	0.442931	0.557069	0.331706	0.293641	0.412751	0.293609	0.00109062
1640	-126.701	-130.147	3.44605	0.425893	0.574107	0.155005	0.0544138	0.529237	0.416349	0.00218178
1650	-126.91	-125.84	-1.06915	0.366825	0.633175	0.637055	0.0387955	0.296084	0.665121	0.00210034
1660	-129.387	-126.251	-3.1359	0.76095	0.23905	0.632504	0.410392	0.176233	0.413375	0.00103325
1670	-135.495	-137.331	1.83597	0.616002	0.383998	0.158016	0.317711	0.186618	0.495671	0.00137146
1680	-129.494	-125.855	-3.63855	0.766733	0.233267	0.695221	0.357294	0.439531	0.203175	0.00105121
1690	-130.879	-128.394	-2.48459	0.267961	0.732039	0.562614	0.430174	0.091202	0.478624	0.00155559
1700	-128.977	-129.763	0.786112	0.616938	0.383062	0.204274	0.608909	0.221429	0.169663	0.00155206
1710	-128.511	-128.336	-0.174566	0.481443	0.518557	0.34507	0.371817	0.490882	0.137301	0.00121767
1720	-127.996	-128.344	0.347414	0.495875	0.504125	0.339853	0.219114	0.396327	0.384559	0.0018299
1730	-128.449	-128.923	0.473968	0.633843	0.366157	0.283167	0.358945	0.143045	0.49801	0.00143873
1740	-134.606	-131.394	-3.21127	0.680404	0.319596	0.681691	0.254498	0.289464	0.456038	0.00238703
1750	-131.486	-123.081	-8.40547	0.379073	0.620927	1.17152	0.357582	0.503304	0.139114	0.00137505
1760	-129.72	-127.799	-1.92041	0.457621	0.542379	0.475479	0.600444	0.362035	0.0375212	0.00225886
1770	-130.023	-130.699	0.675873	0.815796	0.184204	0.211871	0.638688	0.320904	0.0404075	0.000681693
1780	-130.078	-130.124	0.0463081	0.660537	0.339463	0.263098	0.726886	0.120868	0.152246	0.000769796
1790	-129.467	-127.111	-2.35671	0.616808	0.383192	0.517877	0.617592	0.334395	0.0480131	0.000956593
1800	-132.642	-123.585	-9.0571	0.824159	0.175841	1.23355	0.37059	0.401126	0.228284	0.00129077
1810	-130.062	-125.426	-4.63582	0.774898	0.225102	0.77338	0.455118	0.438568	0.106314	0.00083867
1820	-129.227	-128.048	-1.17874	0.726048	0.273952	0.398171	0.628821	0.104718	0.266461	0.00124439
1830	-128.963	-126.815	-2.14868	0.338658	0.661342	0.535306	0.400512	0.336371	0.263117	0.00170212
1840	-135.61	-136.88	1.27049	0.349902	0.650098	0.162087	0.567491	0.324977	0.107532	0.00164136
1850	-130.32	-129.332	-0.987958	0.292088	0.707912	0.385336	0.575463	0.389712	0.0348249	0.00298183
1860	-127.718	-128.632	0.914922	0.2771	0.7229	0.325118	0.136688	0.419924	0.443388	0.0022844
1870	-127.759	-126.965	-0.794402	0.741174	0.258826	0.623548	0.0337155	0.347148	0.619136	0.000763312
1880	-126.756	-129.026	2.27077	0.579354	0.420646	0.439112	0.00868244	0.317357	0.673961	0.000780773
1890	-124.623	-129.837	5.21488	0.343726	0.656274	0.151939	0.00789226	0.371964	0.620144	0.0021306
1900	-127.406	-124.52	-2.8861	0.92538	0.0746201	1.04934	0.00303572	0.76735	0.229615	0.000817566
1910	-131.363	-125.885	-5.47774	0.811807	0.188193	0.898056	0.290959	0.371678	0.337363	0.000618885
1920	-129.234	-125.91	-3.32325	0.530457	0.469543	0.64088	0.457163	0.138598	0.404239	0.00167863
1930	-131.98	-124.392	-7.58737	0.494112	0.505888	1.07806	0.402733	0.0467844	0.550482	0.00231766
1940	-130.214	-123.69	-6.52404	0.382883	0.617117	0.984108	0.35141	0.12506	0.52353	0.00220671
1950	-126.924	-125.969	-0.95485	0.705942	0.294058	0.676538	0.0222223	0.600628	0.37715	0.00133616
1960	-128.118	-128.382	0.263809	0.459566	0.540434	0.34753	0.222157	0.280032	0.497811	0.0012717
1970	-129.727	-126.93	-2.79699	0.518662	0.481338	0.610312	0.35621	0.267253	0.376537	0.00207782
1980	-129.564	-128.894	-0.67047	0.492778	0.507222	0.361238	0.533555	0.40878	0.057665	0.0021362
1990	-128.912	-130.668	1.75622	0.556539	0.443461	0.118584	0.537918	0.401171	0.060911	0.00138818
2000	-128.04	-127.917	-0.122261	0.479375	0.520625	0.374507	0.252633	0.219764	0.527603	0.00133239
2010	-124.828	-130.218	5.39016	0.425253	0.574747	0.148167	0.00676929	0.450891	0.542339	0.00218938
2020	-130.267	-134.694	4.42711	0.395991	0.604009	0.103201	0.0320251	0.633934	0.334041	0.00358936
2030	-126.563	-130.149	3.5855	0.542009	0.457991	0.104384	0.082447	0.687052	0.230501	0.00145994
2040	-126.927	-129.931	3.00426	0.478852	0.521148	0.153249	0.0909596	0.505854	0.403186	0.00187463
2050	-129.606	-133.574	3.96721	0.506163	0.493837	0.0307133	0.122803	0.457444	0.419752	0.00110046
2060	-127.933	-130.574	2.64063	0.477473	0.522527	0.0678051	0.352586	0.30898	0.338434	0.00174247
2070	-127.812	-130.475	2.66313	0.539055	0.460945	0.128641	0.174789	0.360008	0.465203	0.00181124
2080	-127.439	-124.591	-2.84795	0.572863	0.427137	0.837548	0.0305045	0.580311	0.389184	0.00112566
2090	-131.724	-131.171	-0.552952	0.193785	0.806215	0.418199	0.249796	0.13947	0.610734	0.00172551
2100	-127.761	-125.83	-1.93164	0.404289	0.595711	0.763938	0.0245679	0.126256	0.849176	0.00258315
2110	-129.519	-125.62	-3.89885	0.415296	0.584704	0.738191	0.295265	0.54004	0.164695	0.00127308
2120	-130.854	-123.049	-7.80455	0.286899	0.713101	1.08211	0.489709	0.251104	0.259187	0.00238973
2130	-129.632	-130.369	0.737718	0.255963	0.744037	0.25593	0.361025	0.326042	0.312933	0.00178099
2140	-127.146	-128.666	1.51966	0.33099	0.66901	0.295473	0.0970203	0.391468	0.511511	0.00230526
2150	-127.285	-130.109	2.8245	0.502877	0.497123	0.125635	0.15118	0.671668	0.177152	0.00174116
2160	-126.187	-130.635	4.44819	0.598678	0.401322	0.0757886	0.043443	0.287065	0.669492	0.00144982
2170	-128.921	-124.205	-4.71597	0.491052	0.508948	0.841953	0.230837	0.239288	0.529875	0.00137784
2180	-131.474	-124.019	-7.45524	0.738615	0.261385	1.12192	0.21647	0.354442	0.429088	0.00111564
2190	-125.908	-127.765	1.8577	0.46193	0.53807	0.375536	0.0276242	0.379517	0.592859	0.00149889
2200	-128.033	-127.793	-0.240666	0.556081	0.443919	0.373712	0.29076	0.184006	0.525234	0.00131719
2210	-127.717	-129.554	1.83645	0.380972	0.619028	0.213566	0.169478	0.402358	0.428164	0.00233091
2220	-125.151	-129.95	4.79912	0.369014	0.630986	0.153205	0.0124109	0.749773	0.237816	0.00169832
2230	-127.698	-128.478	0.780218	0.548538	0.451462	0.314645	0.179609	0.294416	0.525975	0.00165025
