Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	subset_sympatry	widespread_sympatry
58	-6.9512	-22.423	15.4718	0.616159	0.0248213	0.0208032	0.0963357	0.380555	0.125923	0.0671273	0.0144664	0.0178779	0.0189577	0.0578563	0.369656	0.0141851
59	-9.6303	-24.5012	14.8709	0.669163	0.047273	0.0585	0.0329766	0.183894	0.125923	0.102962	0.0144664	0.107259	0.153704	0.0578563	0.315431	0.0154054
60	-12.086	-25.8213	13.7353	0.408477	0.0589627	0.0585	0.0329766	0.170244	0.125923	0.102962	0.0144664	0.180022	0.196455	0.0578563	0.587713	0.00381046
61	-15.8091	-25.375	9.56591	0.386392	0.0483274	0.465366	0.0329766	0.170244	0.125923	0.102962	0.0803812	0.180022	0.0773115	0.131795	0.602374	0.0112348
62	-10.8319	-24.2981	13.4662	0.520936	0.034896	0.0770178	0.0557078	0.236053	0.125923	0.102962	0.0458092	0.234262	0.0773115	0.0353395	0.471095	0.00796879
63	-16.7392	-27.0443	10.3052	0.517765	0.0721284	0.262871	0.0557078	0.157874	0.125923	0.102962	0.306436	0.0639691	0.115763	0.0777506	0.132262	0.349973
64	-12.1234	-23.8042	11.6807	0.601607	0.0304711	0.224486	0.0557078	0.280037	0.125923	0.0832095	0.306436	0.0121291	0.00767506	0.0777506	0.334109	0.064283
65	-8.8514	-25.2453	16.3939	0.484903	0.0218974	0.224486	0.137727	0.118175	0.125923	0.0436015	0.0129726	0.00247642	0.00767506	0.0375778	0.454535	0.0605625
66	-7.86847	-25.7646	17.8962	0.472091	0.0113475	0.224486	0.0314813	0.118175	0.0121662	0.0882437	0.0129726	0.0402524	0.00558041	0.0375778	0.46584	0.0620689
67	-4.77097	-23.053	18.282	0.577917	0.0392026	0.10443	0.0314813	0.197634	0.0586766	0.0169964	0.0129726	0.0402524	0.00447472	0.0375778	0.341674	0.080409
68	-11.6667	-24.7309	13.0643	0.422098	0.0398157	0.234252	0.147071	0.197634	0.0586766	0.0201987	0.0836431	0.0325282	0.0648965	0.186759	0.519173	0.058729
69	-15.0489	-28.4719	13.423	0.627937	0.010656	0.234252	0.0562132	0.109709	0.0535092	0.102534	0.0836431	0.127429	0.0648965	0.186759	0.301554	0.0705084
70	-7.76034	-25.7341	17.9738	0.766811	0.0378303	0.00345234	0.0562132	0.0767874	0.0535092	0.0736567	0.0836431	0.0186286	0.11872	0.05208	0.147087	0.086102
71	-9.7222	-25.5984	15.8762	0.694823	0.0270486	0.00102112	0.0713655	0.188737	0.0535092	0.0215733	0.0836431	0.0969901	0.188309	0.05208	0.0298652	0.275311
72	-18.0137	-24.958	6.94431	0.286159	0.0270486	0.000822562	0.147627	0.572478	0.0497954	0.186996	0.0484304	0.40388	0.188309	0.05208	0.536825	0.177016
73	-14.8345	-23.3189	8.48438	0.744773	0.0688837	0.016163	0.147627	0.550834	0.0375247	0.186996	0.0484304	0.40388	0.0286796	0.0344423	0.223597	0.0316293
74	-16.9924	-27.3294	10.337	0.567017	0.066822	0.182643	0.147627	0.0612737	0.0375247	0.186996	0.0484304	0.40388	0.0170246	0.18598	0.136062	0.296922
75	-20.3035	-27.1656	6.86206	0.717933	0.0289496	0.400851	0.147627	0.117934	0.0375247	0.186996	0.00390556	0.385032	0.0835668	0.293307	0.204237	0.0778294
