Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	subset_sympatry	widespread_sympatry
85	-19.9229	-26.535	6.6121	0.603842	0.0198159	0.0492238	0.0492238	0.0492238	0.0492238	0.0492238	0.0492238	0.0298402	0.0298402	0.0298402	0.313861	0.0822975
86	-20.7319	-26.0387	5.30684	0.623732	0.0510705	0.0895366	0.0895366	0.0895366	0.0895366	0.0895366	0.0895366	0.0887987	0.0887987	0.0887987	0.324199	0.0520697
87	-19.3922	-25.6755	6.2833	0.501693	0.0369631	0.0789958	0.0789958	0.0789958	0.0789958	0.0789958	0.0789958	0.0158009	0.0158009	0.0158009	0.40603	0.0922773
88	-22.7375	-26.4834	3.74595	0.434397	0.0258909	0.209372	0.209372	0.209372	0.209372	0.209372	0.209372	0.150233	0.150233	0.150233	0.529987	0.0356152
89	-19.2415	-25.0473	5.80576	0.657875	0.0335032	0.143626	0.143626	0.143626	0.143626	0.143626	0.143626	0.00238515	0.00238515	0.00238515	0.242793	0.0993326
90	-19.5282	-26.3083	6.78014	0.648159	0.0630114	0.00927991	0.00927991	0.00927991	0.00927991	0.00927991	0.00927991	0.00978511	0.00978511	0.00978511	0.249687	0.102153
91	-20.6738	-26.8405	6.16665	0.721614	0.0833188	0.043107	0.043107	0.043107	0.043107	0.043107	0.043107	0.0169992	0.0169992	0.0169992	0.131476	0.14691
92	-20.5408	-27.6774	7.1366	0.653358	0.0175977	0.0150407	0.0150407	0.0150407	0.0150407	0.0150407	0.0150407	0.0137917	0.0137917	0.0137917	0.163712	0.18293
93	-21.9993	-29.1922	7.19295	0.545062	0.0186918	0.00563828	0.00563828	0.00563828	0.00563828	0.00563828	0.00563828	0.0164657	0.0164657	0.0164657	0.416572	0.0383666
94	-19.1202	-26.4927	7.37249	0.633404	0.0160262	0.00563828	0.00563828	0.00563828	0.00563828	0.00563828	0.00563828	0.00117635	0.00117635	0.00117635	0.207329	0.159267
