Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	clock_scale_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	er_mol[1]	er_mol[2]	er_mol[3]	er_mol[4]	er_mol[5]	er_mol[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi_mol[1]	pi_mol[2]	pi_mol[3]	pi_mol[4]	subset_sympatry	widespread_sympatry
400	-13237.5	-13130	-107.529	0.46217	0.0298464	1.95421	0.104297	0.0492129	0.0431205	0.0909718	0.0345724	0.183755	0.229334	0.0216691	0.0184087	0.0124213	0.402033	0.0301435	0.03141	0.469192	0.0548012	0.00181395	0.0618939	0.487136	3.44916	0.370571	0.35273	0.0622673	0.214431	0.281356	0.256474
410	-13244.4	-13131.5	-112.961	0.704516	0.0317876	1.95421	0.0546492	0.060559	0.317665	0.10482	0.229794	0.302722	0.00729188	0.0338489	0.0659963	0.00886095	0.378776	0.0326329	0.028847	0.49138	0.0595029	0.00161016	0.0583727	0.47613	3.46389	0.38135	0.355438	0.0610504	0.202161	0.157337	0.138147
420	-13249.2	-13134.6	-114.554	0.407418	0.0175214	1.13495	0.114263	0.0347333	0.112741	0.776765	0.0556002	0.00566859	0.201934	0.0618196	0.0153982	0.00912843	0.447368	0.0267711	0.0415578	0.433301	0.041874	0.00106933	0.0477184	0.439941	3.51127	0.369058	0.368684	0.0542693	0.207988	0.210681	0.381902
430	-13241.8	-13133.5	-108.37	0.208306	0.0165602	1.05175	0.0273046	0.00941959	0.015736	0.209808	0.0568265	0.0708963	0.00849707	0.271355	0.0656249	0.00914902	0.445117	0.0294257	0.033087	0.425292	0.0579296	0.00150379	0.0564431	0.469914	3.47214	0.375421	0.366198	0.055059	0.203322	0.575715	0.21598
440	-13245.5	-13138.5	-107.067	0.271191	0.0162793	1.05175	0.126607	0.0104349	0.0846744	0.0491705	0.00813964	0.332409	0.00301298	0.0539962	0.0552058	0.008206	0.454003	0.0256284	0.0276092	0.420033	0.0645206	0.00154879	0.0572677	0.472587	3.4686	0.363265	0.377612	0.0573781	0.201744	0.210305	0.518505
450	-13250	-13138.2	-111.731	0.243542	0.0228634	1.54317	0.0684728	0.00163624	0.00930351	0.04353	0.250762	0.218144	0.00233464	0.128962	0.0449131	0.0125236	0.36061	0.0288691	0.0294212	0.488568	0.0800078	0.00111719	0.0487595	0.443694	3.50643	0.362375	0.369665	0.0582392	0.209721	0.336985	0.419473
460	-13255.9	-13138.5	-117.398	0.495934	0.0256781	1.62285	0.030681	0.292494	0.240868	0.0130854	0.164075	0.0618004	0.116748	0.464389	0.0963581	0.0101439	0.439408	0.0306569	0.0282652	0.439662	0.0518635	0.00117111	0.0499054	0.447766	3.50116	0.367749	0.359603	0.0545582	0.21809	0.442583	0.0614837
470	-13248.4	-13135.8	-112.546	0.254112	0.0327482	2.05267	0.0498431	0.0247007	0.087078	0.407486	0.0621595	0.00438755	0.283023	0.0159576	0.16618	0.0106472	0.415904	0.0258841	0.0352787	0.437628	0.0746576	0.00125237	0.0515824	0.453618	3.49355	0.372476	0.363873	0.054778	0.208873	0.64798	0.0979074
480	-13254	-13142.6	-111.343	0.310313	0.00480793	0.320683	0.205013	0.0351604	0.0595105	0.192704	0.295524	0.0308215	0.148608	0.0237163	0.0732703	0.0108665	0.380488	0.0293329	0.0264364	0.466258	0.0866184	0.00197049	0.0644617	0.494906	3.43866	0.380682	0.360803	0.0630861	0.195429	0.678046	0.0116419
490	-13244	-13137.6	-106.439	0.919411	0.03229	1.94981	0.0167069	0.039444	0.0363395	0.159961	0.0015114	0.149594	0.00185425	0.0598181	0.026645	0.00881447	0.387367	0.0254072	0.0350846	0.467174	0.0761527	0.0015904	0.0580193	0.475001	3.46539	0.368417	0.374921	0.0534147	0.203248	0.0260332	0.0545555
500	-13255.5	-13142.1	-113.352	0.46421	0.0557401	2.94846	0.0515606	3.78142e-05	0.201018	0.211908	0.049137	0.174343	0.211569	0.0598181	0.121134	0.00789885	0.462046	0.0303011	0.0174076	0.431608	0.0507378	0.00102366	0.0467023	0.436226	3.51605	0.374729	0.36749	0.0593591	0.198422	0.118834	0.416956
510	-13249.6	-13140.4	-109.176	0.744551	0.00669619	0.359386	0.0126339	0.0672553	0.0773971	0.039385	0.0689025	0.314182	0.211569	0.0598181	0.121061	0.00714383	0.429752	0.0274116	0.0264577	0.425974	0.0832616	0.00149237	0.056232	0.469225	3.47305	0.368262	0.367441	0.0595405	0.204757	0.146504	0.108945
520	-13251.2	-13139.7	-111.436	0.204561	0.00956695	0.580188	0.0328714	0.175699	0.12612	0.224164	0.106598	0.0740814	0.0566193	0.00277444	0.147449	0.00842133	0.382486	0.0386091	0.0224201	0.479488	0.0685755	0.00146436	0.0557102	0.467517	3.47531	0.370615	0.379959	0.053724	0.195701	0.408993	0.386447
530	-13247.6	-13134.1	-113.48	0.351231	0.0106479	0.580188	0.0941796	0.00389089	0.120866	0.56449	0.0778902	0.077706	0.14677	0.095527	0.150073	0.00951151	0.372289	0.0289529	0.0255065	0.524828	0.0389122	0.000831233	0.0421421	0.418885	3.53814	0.394609	0.347498	0.0587231	0.19917	0.388559	0.26021
540	-13255.4	-13149.2	-106.135	0.287523	0.0104497	0.513391	0.0524629	0.0545964	0.107619	0.0675537	0.00615479	0.0986976	0.256868	0.011872	0.150073	0.00611605	0.36996	0.0306098	0.0281015	0.520665	0.0445484	0.000904399	0.043934	0.425836	3.52933	0.392146	0.353492	0.0593986	0.194963	0.322171	0.390306
550	-13242.5	-13132.6	-109.88	0.455181	0.0121416	0.644372	0.0371705	0.00886127	0.0873533	0.457964	0.0960223	0.103157	0.233284	0.0459606	0.0264631	0.00787351	0.422654	0.0271801	0.0315569	0.448821	0.061914	0.00139452	0.0543864	0.463134	3.48108	0.371522	0.363749	0.0582589	0.206471	0.361829	0.182989
